,0
0,-0.64205
1,-0.79903674
2,-0.8955997
3,-0.9484567
4,-0.9752803
5,-0.9883217
6,-0.9945235
7,-0.99744093
8,-0.9988062
9,-0.99944353
10,-0.9997407
11,-0.9998792
12,-0.99994373
13,-0.9999738
14,-0.9999878
15,-0.99999434
16,-0.9999974
17,-0.9999988
18,-0.99999946
19,-0.99999976
20,-0.9999999
21,-0.99999994
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0119064
42,-1.0290865
43,-1.0483427
44,-1.0681305
45,-1.0877272
46,-1.106818
47,-1.1252844
48,-1.1430988
49,-1.1602732
50,-1.1768346
51,-1.1928145
52,-1.2082446
53,-1.223155
54,-1.2375733
55,-1.2515248
56,-1.2650329
57,-1.2781192
58,-1.2908037
59,-1.3031045
60,-1.3150388
61,-1.3266224
62,-1.3378701
63,-1.3487959
64,-1.3594127
65,-1.3697325
66,-1.379767
67,-1.3895267
68,-1.3990222
69,-1.4082627
70,-1.4172577
71,-1.4260155
72,-1.4345446
73,-1.4428525
74,-1.4509467
75,-1.4588344
76,-1.4665221
77,-1.4740164
78,-1.4813235
79,-1.4884491
80,-1.4953988
81,-1.502178
82,-1.5087919
83,-1.5152456
84,-1.5215434
85,-1.5276902
86,-1.5336903
87,-1.539548
88,-1.5452671
89,-1.5508517
90,-1.5563054
91,-1.5616319
92,-1.5668347
93,-1.5719173
94,-1.5768826
95,-1.5817341
96,-1.5864745
97,-1.591107
98,-1.5956343
99,-1.6000593
100,-1.6043842
101,-1.5967058
102,-1.5874538
103,-1.5780925
104,-1.5688255
105,-1.5596812
106,-1.5506626
107,-1.5417691
108,-1.5329995
109,-1.5243527
110,-1.515827
111,-1.5074213
112,-1.4991343
113,-1.4909647
114,-1.4829111
115,-1.4749724
116,-1.4671474
117,-1.4594345
118,-1.4518329
119,-1.4443411
120,-1.436958
121,-1.4296821
122,-1.4225125
123,-1.4154478
124,-1.4084868
125,-1.4016286
126,-1.3948717
127,-1.388215
128,-1.3816574
129,-1.3751976
130,-1.3688346
131,-1.3625672
132,-1.3563943
133,-1.3503147
134,-1.3443273
135,-1.3384311
136,-1.3326247
137,-1.3269072
138,-1.3212776
139,-1.3157347
140,-1.3102775
141,-1.3049047
142,-1.2996156
143,-1.294409
144,-1.2892838
145,-1.2842389
146,-1.2792734
147,-1.2743863
148,-1.2695765
149,-1.264843
150,-1.2601849
151,-1.255601
152,-1.2510906
153,-1.2466526
154,-1.2422861
155,-1.2379899
156,-1.2337635
157,-1.2296056
158,-1.2255151
159,-1.2214916
160,-1.2175338
161,-1.213641
162,-1.2098123
163,-1.2060467
164,-1.2023432
165,-1.1987013
166,-1.1951197
167,-1.1915979
168,-1.1881348
169,-1.1847297
170,-1.1813818
171,-1.1780902
172,-1.1748542
173,-1.1716727
174,-1.1685451
175,-1.1654707
176,-1.1624485
177,-1.159478
178,-1.1565582
179,-1.1536884
180,-1.1508679
181,-1.1480958
182,-1.1453717
183,-1.1426945
184,-1.1400636
185,-1.1374786
186,-1.1349384
187,-1.1324424
188,-1.12999
189,-1.1275804
190,-1.1252131
191,-1.1228874
192,-1.1206025
193,-1.1183579
194,-1.1161529
195,-1.113987
196,-1.1118594
197,-1.1097696
198,-1.1077169
199,-1.1057007
200,-1.1037205
201,-1.1017758
202,-1.0998658
203,-1.09799
204,-1.096148
205,-1.0943391
206,-1.0925628
207,-1.0908185
208,-1.0891056
209,-1.0874239
210,-1.0857725
211,-1.0841511
212,-1.0825593
213,-1.0809964
214,-1.0794619
215,-1.0779555
216,-1.0764767
217,-1.0750248
218,-1.0735995
219,-1.0722004
220,-1.070827
221,-1.0694789
222,-1.0681555
223,-1.0668565
224,-1.0655816
225,-1.0643301
226,-1.0631019
227,-1.0618964
228,-1.0607133
229,-1.0595521
230,-1.0584124
231,-1.057294
232,-1.0561965
233,-1.0551194
234,-1.0540624
235,-1.053025
236,-1.0520071
237,-1.0510082
238,-1.0500281
239,-1.0490663
240,-1.0481225
241,-1.0471966
242,-1.0462881
243,-1.0453966
244,-1.0445218
245,-1.0436636
246,-1.0428215
247,-1.0419955
248,-1.041185
249,-1.0403898
250,-1.0396097
251,-1.0388442
252,-1.0380934
253,-1.0373567
254,-1.0366341
255,-1.0359251
256,-1.0352297
257,-1.0345474
258,-1.0338782
259,-1.0332218
260,-1.0325779
261,-1.0319462
262,-1.0313265
263,-1.0307187
264,-1.0301225
265,-1.0295377
266,-1.028964
267,-1.0284014
268,-1.0278494
269,-1.0273081
270,-1.0267773
271,-1.0262566
272,-1.0257457
273,-1.025245
274,-1.0247536
275,-1.0242717
276,-1.0237991
277,-1.0233356
278,-1.0228809
279,-1.0224351
280,-1.0219978
281,-1.021569
282,-1.0211484
283,-1.020736
284,-1.0203315
285,-1.0199348
286,-1.0195458
287,-1.0191642
288,-1.01879
289,-1.0184232
290,-1.0180633
291,-1.0177104
292,-1.0173645
293,-1.0170252
294,-1.0166925
295,-1.0163662
296,-1.0160463
297,-1.0157325
298,-1.0154248
299,-1.0151231
