,0
0,0.85119
1,0.55129
2,0.66313
3,0.53933
4,0.42188
5,0.39772
6,0.45561
7,0.14347
8,0.21024
9,0.1758
10,-0.072965
11,-0.13652
12,0.00046884
13,-0.28857
14,-0.3638
15,-0.28598
16,-0.49616
17,-0.68265
18,-0.94045
19,-0.71006
20,-0.73802
21,-0.83009
22,-0.94047
23,-1.0077
24,-0.9223
25,-0.95898
26,-1.0155
27,-0.89471
28,-0.93298
29,-0.88755
30,-1.1591
31,-0.85777
32,-1.0494
33,-1.1908
34,-0.90699
35,-1.0219
36,-0.90306
37,-1.1216
38,-1.242
39,-0.9402
40,-1.0661
41,-0.9755
42,-0.95015
43,-0.9428
44,-1.0559
45,-0.92202
46,-1.0536
47,-1.0766
48,-1.0489
49,-1.0086
50,-1.0932
51,-1.0463
52,-0.99581
53,-1.0218
54,-0.96876
55,-1.171
56,-1.0462
57,-0.90315
58,-0.9276
59,-1.112
60,-1.0145
61,-0.89034
62,-0.99217
63,-1.1106
64,-1.0673
65,-1.0346
66,-1.0993
67,-0.89022
68,-1.0017
69,-0.9699
70,-1.1123
71,-1.282
72,-1.2715
73,-1.0418
74,-0.9063
75,-0.95378
76,-1.0558
77,-1.0246
78,-1.1076
79,-1.119
80,-1.0621
81,-1.0347
82,-1.1431
83,-1.1605
84,-0.95899
85,-1.1294
86,-1.1063
87,-0.9775
88,-1.29
89,-1.1708
90,-1.2317
91,-1.2276
92,-1.0947
93,-0.99055
94,-1.1267
95,-1.0534
96,-1.0847
97,-0.99939
98,-1.2493
99,-1.0989
100,-1.0381
101,-1.1011
102,-1.2396
103,-1.0722
104,-1.1276
105,-1.1141
106,-1.0083
107,-1.1811
108,-1.0709
109,-1.0217
110,-0.99397
111,-1.1995
112,-1.1534
113,-1.1718
114,-1.0993
115,-0.99518
116,-1.107
117,-1.2794
118,-1.0971
119,-1.2793
120,-1.2077
121,-1.0807
122,-1.1875
123,-1.2348
124,-1.0243
125,-1.0303
126,-0.91304
127,-1.0558
128,-0.81834
129,-1.0004
130,-1.0775
131,-1.0028
132,-1.1027
133,-1.1544
134,-1.0082
135,-1.1086
136,-1.0617
137,-1.0842
138,-1.1434
139,-1.0688
140,-0.96693
141,-1.082
142,-1.0497
143,-0.93123
144,-1.1202
145,-1.0965
146,-1.2328
147,-1.1633
148,-1.0358
149,-1.131
150,-0.9799
151,-1.1013
152,-1.157
153,-0.94404
154,-0.94733
155,-1.0267
156,-1.1672
157,-1.1687
158,-0.95096
159,-1.0788
160,-0.99053
161,-1.0454
162,-1.0293
163,-1.0784
164,-1.0483
165,-0.90406
166,-0.95798
167,-1.0585
168,-0.91964
169,-1.0766
170,-1.0756
171,-0.97375
172,-1.0818
173,-1.0037
174,-1.1218
175,-1.1503
176,-1.0062
177,-1.0234
178,-1.004
179,-1.045
180,-0.94842
181,-0.91602
182,-1.0726
183,-1.0943
184,-1.2935
185,-1.0713
186,-0.98005
187,-1.1749
188,-1.1229
189,-0.99325
190,-1.1104
191,-1.0885
192,-0.96855
193,-1.0269
194,-1.0961
195,-1.0572
196,-1.0396
197,-0.95635
198,-1.09
199,-0.92811
200,-0.95423
201,-0.96489
202,-1.0151
203,-0.95137
204,-1.0564
205,-0.90588
206,-1.0698
207,-1.1467
208,-1.1423
209,-0.98134
210,-1.0239
211,-1.1241
212,-1.1265
213,-1.1105
214,-1.2336
215,-1.0477
216,-1.0591
217,-1.0453
218,-0.85275
219,-0.93714
220,-1.0651
221,-1.0842
222,-0.99592
223,-1.1788
224,-1.056
225,-1.0882
226,-1.0042
227,-1.0204
228,-1.0689
229,-1.1221
230,-1.0623
231,-0.94383
232,-0.86812
233,-1.0458
234,-1.1524
235,-1.0771
236,-1.1669
237,-1.0301
238,-1.0119
239,-1.1101
240,-1.1132
241,-0.85312
242,-0.99903
243,-1.1403
244,-0.90933
245,-1.0837
246,-0.95365
247,-0.94108
248,-0.99472
249,-1.1093
250,-1.0781
251,-1.1373
252,-0.95342
253,-1.0895
254,-0.86249
255,-1.0353
256,-0.9722
257,-1.0538
258,-1.0478
259,-1.0309
260,-1.1508
261,-0.88869
262,-1.0317
263,-0.849
264,-1.1565
265,-1.0469
266,-0.88549
267,-1.0428
268,-0.99421
269,-1.076
270,-1.038
271,-1.0451
272,-0.94512
273,-0.97348
274,-0.85618
275,-1.2042
276,-1.1047
277,-1.2399
278,-0.95564
279,-0.98266
280,-1.0552
281,-0.93613
282,-1.1281
283,-0.97913
284,-0.92637
285,-1.0426
286,-1.0147
287,-0.89522
288,-1.2074
289,-1.1604
290,-1.1065
291,-0.94524
292,-1.054
293,-0.91292
294,-0.88031
295,-1.1031
296,-1.1337
